keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk1617,placeholder.jpg,The Chanukah adventures of Yossi the dreamer,"Estrin, Leibel;Sears, Dovid",1989,Moznaim,New York,,,,,1st edition,color illustrations,1 volume,23 cm,,,,,,,,,,Hanukkah;Jewish themes in children's literature,Image;StillImage,image/jpeg,eng,item
hk1618,placeholder.jpg,The captured tzaddik : a tale of the Baal Shem Tov's father,"Sears, Dovid",1990,Moznaim,New York,,,,,1st edition,illustrations,70 pages,23 cm,,,,,,,,,,Hasidim;Legends,Image;StillImage,image/jpeg,eng,item
hk1619,placeholder.jpg,Jewish holiday for children : cut out book,"Kasten Zeltser, Tamar",1981,Shaar Hashamayim Press,New York,,,,,,illustrations,"2, 44 leaves",28 cm,,,,,,,,,,Jewish religious education;United States;Fasts and feasts;Judaism,Image;StillImage,image/jpeg,eng,item
hk1620,placeholder.jpg,Efrayim saves the day and other stories,"Fuchs, Menuchah;Goldman, B;Weinberg, B;Zyskind, B",2000,Judaica Press,New York,,,,,,illustrations,44 pages,20 cm,Children's Learning Series,,,,"Adapted by B. Goldman, B. Weinberg and B. Zyskind.",,,,"In this collection of five stories, Efrayim, Mordechai, Shimmie and friends enjoy escapades throughout the day, discovering the joys of school and friendship.",United States;Fiction,Image;StillImage,image/jpeg,eng,item
hk1621,placeholder.jpg,The story of Rabbi Yisroel Salanter,"Ury, Zalman F;Ackerman, Dena",1971,Torah Umesorah Publications,New York,Mosaica Press,"Brooklyn, NY",,,,illustrations,95 pages,23 cm,,,,,"Reprint, with updated language and all new illustrations, of work published originally in 1971.",,,,"""This is the story of Rabbi Yisroel Salanter, the founder of the Mussar Movement. He taught us to be honest and caring Jews - and the stories about him are incredible. If you take these stories to heart, your life will be changed forever!""--back cover.","Musar movement;Salanter, Israel, 1810-1883",Image;StillImage,image/jpeg,eng,item
hk1622,placeholder.jpg,The grand finale!,"Millman, M C",1999,CIS Publishers,"New York;Lakewood, NJ",,,,,,,143 pages,24 cm,Adventures of the Cheery Bim Band,10,,,,,,,"The younger boys in the band have to face the fact that as the older boys turn thirteen, they will depart. Join the Band's last great adventure!",Bands (Music);Jewish boys;Fiction,Image;StillImage,image/jpeg,eng,item
hk1623,placeholder.jpg,Too tough to care,"Millman, M C",1993,CIS Publishers,"New York;Lakewood, NJ",,,,,,,127 pages,24 cm,,,,,,,,,"Fifth-grader Levi Newman gets in trouble with the feared Big Baruch, but discovers there is sensitivity and caring behind the tough exterior. He just has to make sure not to lose his old friends.",Jewish boys;Fiction,Image;StillImage,image/jpeg,eng,item
hk1624,placeholder.jpg,Who is the builder?,"Krohn, Genendel;Peleg, Tirtsah",2002,Feldheim Publishers,"Jerusalem, Israel;New York",,,,,,color illustrations,32 pages,28 cm,,,,,"""This story was adapted from Bereishis Rabbah (39,1) and Zohar (1,86).""",,,,Young Abram discovers beauty of the world and arrives to the idea of God's creation of the world.,God (Judaism);Creation;Zohar stories;Midrash stories;Judaism;Abraham (Biblical patriarch),Image;StillImage,image/jpeg,eng,item
hk1625,placeholder.jpg,The ten tests of Abraham,"Lepon, Shoshana;Forst, Siegmund",1986,Judaica Press,New York,,,,,,color illustrations,32 pages,22 x 29 cm,,,,,,,,,,Patriarchs (Bible);Bible stories;Old Testament;Biography;Abraham (Biblical patriarch),Image;StillImage,image/jpeg,eng,item
hk1626,placeholder.jpg,The Torah for children,"Beckerman, Tehila;Nodel, Norman",1993,Judaica Press,"New York, NY",,,,,,color illustrations,"volumes 1, part 1",29 cm,,,,,"V. 1. Sefer Bereishis. [pt. 1] Bereishis, Noach, Lech lecha, Vayera.;English adaptation of Aharon Falk's Daftaot le-farashiyot al parashiyot ha-shavua.",,,"v. 1. Sefer Bereishis. [pt. 1] Bereishis, Noach, Lech lecha, Vayera.",,Bible stories;Pentateuch;Old Testament,Image;StillImage,image/jpeg,eng,item
hk1627,placeholder.jpg,There's room in my house!,"Weinstock, Malky;Schmidt, Melanie",2002,Ohr-Light Press,"New York, NY",,,Feldheim Publishers,,,illustrations,1 volume,25 cm,,,,,,,,,,Hospitality;Sabbath;Fiction,Image;StillImage,image/jpeg,eng,item
hk1628,placeholder.jpg,The humongous pushka in the sky,"Siegel, Danny;Potts, Garth",1993,Town House Press,"Pittsboro, NC",,,,,,illustrations,32 pages,16 x 23 cm,,,,,,,,,,Commandments (Judaism);Conduct of life;Jewish ethics;Charity,Image;StillImage,image/jpeg,eng,item
hk1629,placeholder.jpg,The Shabbos queen : Shabbos stories for children from our Sages,"Ohayon, Avraham;Zmora, Avram",2016,Dani Sefarim,"Kiryat Gat, Israel",,,,,,color illustrations,64 pages,34 cm,,,,,Translation of: BoÊ¼i Shabat.,,,,"""Discover eleven great stories about the holiest day of the week in The Shabbos Queen. These timeless tales, including some popular favorite, convey our most treasured values -- trust in Hashem, self-sacrifice for His mitzvos, helping others -- all in the context of stories about Shabbos.""-- Back cover",Sabbath;Folklore;Aggada;Jewish legends,Image;StillImage,image/jpeg,eng,item
hk1630,placeholder.jpg,Thanks to you for everything you do,"Ginsburg, Sara;David, Racheli;Scherman, Nosson",2020,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,29 pages,29 cm,Artscroll Youth series,,,,,,,,,Gratitude;Judaism;Jewish ethics;Conduct of life;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk1631,sutton_livingshabbos2.jpg,Living Shabbos for children. 2,"Sutton, David Rabbi;Sutton, Leah;Zee, Sarah",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,64 pages,29 cm,Artscroll Youth series,,,,"""Cohen Saban Charitable Trust edition.""",,,,"8\ Do you want your children to ... Wait impatiently for Shabbos to begin? Enjoy every moment of Shabbos? Love Shabbos -- and Live Shabbos? Share with them the wonder and joy of Shabbos in the popular Living Shabbos For Children series! In Living Shabbos for Children 2, bestselling, beloved author Goldie Golding joins Rabbi David Sutton in offering our children 20 fun, relatable, and exciting stories about Shabbos. â€¢ What lesson about Shabbos did a Jewish man learn from the Queen of England? â€¢ How did keeping Shabbos save a farmer's onion crop? â€¢ Why did the Shabbos angels leave the house where they were singing beautiful zemiros - and why did they come back later? Designed for children ages 4 - 8, and based on the popular books Living Shabbos and Embrace Shabbos by Rabbi Sutton, this collection of fun, child-friendly stories and delightful illustrations gives us a powerful and effective way to instill a love for Shabbos into our children. Illustrated by Sarah Zee Age Range: Children 5-8.",Sabbath,Image;StillImage,image/jpeg,eng,item
hk1632,placeholder.jpg,Uncle Moishy : the very best Shabbos guest,"Lazewnik, Libby;Binet, Perry;Rivky Robi Photography",2021,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,26 pages,29 cm,Artscroll Uncle Moishy series,,,,,,,,,"Jewish way of life;Social life and customs;Conduct of life;Jewish ethics;Stories in rhyme;Fiction;Moishy, Uncle",Image;StillImage,image/jpeg,eng,item
hk1633,placeholder.jpg,Uncle Moishy : the very best Chanukah guest,"Lazewnik, Libby;Binet, Perry;Rivky Robi Photography",2021,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,35 pages,29 cm,Artscroll Uncle Moishy series,,,,,,,,,"Jewish way of life;Social life and customs;Stories in rhyme;Fiction;Moishy, Uncle",Image;StillImage,image/jpeg,eng,item
hk1634,placeholder.jpg,What a story! : for children,"Spero, Yechiel;Nadell, Yocheved",2023,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,63 pages,29 cm,Artscroll series,,,,,,,,,Jewish way of life;Jewish ethics;Rabbis;Jewish legends;Jewish religious education;Customs and practices;Anecdotes,Image;StillImage,image/jpeg,eng,item
hk1635,placeholder.jpg,Uncle Moishy : the very best Pesach surprise,"Binet, Perry;Lazewnik, Libby;Rivky Robi Photography",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,34 pages,29 cm,Artscroll Uncle Moishy series,,,,,,,,"Meir and Malka [undertake] to clean up the house when Pesach is coming, and Mommy has to rest because she's just brought home the new twins! How will the family be ready in time for the Seder? No worries! Uncle Moishy is here to help! Together with Pesach food, he's bringing Pesach lessons and Pesach fun! ... lessons in responsibility, in teamwork, and in doing mitzvos with zrizus.","Passover;House cleaning;Siblings;Jewish way of life;Social life and customs;Stories in rhyme;Fiction;Moishy, Uncle",Image;StillImage,image/jpeg,eng,item
hk1636,placeholder.jpg,Uncle Moishy : the very best Pesach surprise,"Binet, Perry;Lazewnik, Libby",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,34 pages,29 cm,Artscroll Uncle Moishy series,,,,,,,,"Meir and Malka [undertake] to clean up the house when Pesach is coming, and Mommy has to rest because she's just brought home the new twins! How will the family be ready in time for the Seder? No worries! Uncle Moishy is here to help! Together with Pesach food, he's bringing Pesach lessons and Pesach fun! ... lessons in responsibility, in teamwork, and in doing mitzvos with zrizus.","Passover;House cleaning;Siblings;Jewish way of life;Social life and customs;Stories in rhyme;Fiction;Moishy, Uncle",Image;StillImage,image/jpeg,eng,item
hk1637,placeholder.jpg,The big book of middos books.,"Snowden, Linda;Horen, Michael;Migron, Chagit;Adahan, Miriam;Golding, Goldie;Van Handel, Esther",2021,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,175 pages,29 cm,Artscroll Middos book,,,,"Compilation of works published 1988-1993.;First three works by Goldie Golding with drawings by Linda Snowden and, airbrush color by Michael Horen at ArtScroll Studios. Fourth to sixth works by Esther van Handel and illustrated by Chagit Migron;Farmer Greenfield's big city adventure by Esther van Handel and Miriam Adahan.",,,Eli and his little white -- Dovy and the surprise guests -- Arrogant Ari learns a lesson. -- The secret of the leaves -- Farmer Greenfield's big city adventure -- Benjy's room.,"ArtScroll's Middos Series delighted an entire generation of young readers while teaching them good middos. Now our children (grandchildren too!), ages 4 - 9, can enjoy the exciting adventures and super-fun illustrations of SIX of the most popular books in the series.-- Page 4 of cover.; Arrogant Ari Learns a Lesson: Ari was the ""biggest bigshot you ever met."" And then he learned a lesson in humility. --Eli and His Little White Lie: It all began as a cute little fluffy white lie, but it soon got out of hand. Until Eli decided to tell the truth. -- --Dovy and the Surprise Guests: Will Dovy ever get the Shabbos guests he wants so badly? -- --Benjy's Room: Benjy didn't like sharing his room. But when he got a room for himself, that's when the trouble really began [he finds the peace and quiet away from the family too unsettling and learns to be more tolerant of his three brothers and sister.] -- --The Secret of the Leaves: Some people are loud, but Beryl is the loudest. That changes when he learns a secret. -- --Farmer Greenfield's Big City Adventure: The Greenfield family learns: Never give up!-- page [4] of cover",Siblings;Pride and vanity;Sharing;Hospitality;Judaism;Loudness;Jewish ethics;Fiction,Image;StillImage,image/jpeg,eng,item
hk1638,placeholder.jpg,The big book of Jewish bedtime story books,"Blitz, Shmuel;Ariel, Liat Binyamini;Katz, Tova;Scherman, Nosson",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,191 pages,29 cm,Artscroll Youth series,,,,Compilation of works published 1996-2004.;First and third works illustrated by Liat Binyamini Ariel;second and fourth works by Tova Katz. Third and fourth works have introduction by Rabbi Nosson Scherman.,,,A treasury of Jewish bedtime stories -- Bedtime stories of Jewish values -- Bedtime stories to make you smile -- A treasury of Shabbos bedtime stories.,,Jewish legends;Jewish exempla;Jewish ethics;Sabbath;Customs and practices;Social life and customs;Fiction,Image;StillImage,image/jpeg,eng,item
hk1639,placeholder.jpg,I live my day the Torah way,"Ginsburg, Sara;David, Racheli",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,29 pages,,,,,,,,,,,Children;Conduct of life;Jewish religious education;Jewish way of life,Image;StillImage,image/jpeg,eng,item
hk1640,placeholder.jpg,Let's get bentching! : stories and fascinating facts about Bircas HaMazon,"Ansh, Tamar;Katz, Tova",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,88 pages,28 cm,Artscroll Youth series,,,,,,Includes bibliographical references.,,,Grace at meals;Judaism;Customs and practices,Image;StillImage,image/jpeg,eng,item
hk1641,placeholder.jpg,The weekly parashah series haggadah : an illustrated Haggadah and the story of yetzias Mitzrayim based on midrashim,"Zakon, Nachman;Kron, Lea",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,color illustrations,191 pages,28 cm,,,,,Jaffa Family edition.,,,Haggadah -- A nation is born: the story of Yetzias Mitzrayim.,,Passover;Liturgy;Seder;The Exodus (Biblical);Jewish religious education;Midrash;Liturgical texts,Image;StillImage,image/jpeg,eng,item
hk1642,placeholder.jpg,The Starlight Sisters. Volume 1. Ora's story : second fiddle,"Lazewnik, Libby",2023,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,,272 pages,21 cm,,,,,,,,,,Jewish girls;Jewish families;Schools;Friendship;Siblings;Sisters;Fiction,Image;StillImage,image/jpeg,eng,item
hk1643,placeholder.jpg,Sarah dreamer,"Schottenstein, Eda;Kron, Lea",2020,Artscroll Mesorah Publications,"Rahway, NJ",,,,,,illustrations,32 pages,29 cm,Artscroll Youth series,,,,,,,,"""Meet Sarah Dreamer, a little girl with a big imagination, who dreams to... ...fly like a bird ...run like a cheetah ....grow like a tree. Meet her Mother, who will guide little Sarah as she discovers that she is wonderful as she is, and that the greatest treasure of all is the one that already exists inside her. Sarah Dreamer is a charming and uplifting book about unconditional love that will delight young readers, as it gently gives over the vital message of being happy as they are"" -- back cover.",Jewish girls;Well-being;Self-realization;Self-esteem;Fiction,Image;StillImage,image/jpeg,eng,item
hk1644,placeholder.jpg,Just love them for children : stories about Rabbi Dovid Trenk,"Blitz, Shmuel;Kron, Lea",2021,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,47 pages,29 cm,Artscroll Youth series,,,,"""Fischer family edition."";Adaptation of (work): Besser Yisroel Just love them",,,,,"Rabbis;New Jersey;Lakewood (New Jersey);Jewish educators;Biography;Trenk, Dovid, Rabbi, 1941-2019",Image;StillImage,image/jpeg,eng,item
hk1645,placeholder.jpg,Living emunah for children 3,"Ashear, David;Sutton, Leah;Neuhaus, Rivky",2022,Artscroll Mesorah Publications,"Rahway, NJ",,,,,1st edition,color illustrations,64 pages,29 cm,Artscroll Youth series,,,,,,,,,Faith (Judaism);Providence and government of God;Judaism,Image;StillImage,image/jpeg,eng,item
hk1646,placeholder.jpg,Michael and the raindrops,"Beckerman, Menuchah",2011,Beckerman Publishers,"Ramat Shlomo, Jerusalem, Israel",,,,,,illustrations,,,My middos world,7,,,Laminated.,,,,"""Michael learns to listen to his mother and not to jump into puddles. He also learns all about why we need rain."" -- Amazon.",Haredi and religious literature;Conduct of life;Rain and rainfall;Yeshivas,Image;StillImage,image/jpeg,eng,item
hk1647,placeholder.jpg,Two kings : based on the classic parable of Two Kings,"Jacobs, Fishel",2008,Campus Living & Learning Shuls,"South Royalton, Vermont",,,Israel Bookshop Publications,"Lakewood, NJ",,color illustrations,volumes,21 x 29 cm,,,,,"""A wonderful book.""",,,V. 1. Lets go play -- v. 2. It's my turn.,"Children choose between the ""Good King"" and the Bad King"" (representing the Yetzer Tov and the Yetzer Hara) each of whom presents their case to the child faced with a moral dilemma. A powerful, contemporary portrayal, grounded in the teaching of the Torah.",Yetzer hara (Judaism);Good and evil;Judaism;Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk1648,placeholder.jpg,Shani plus three,"Goodman, Sarah;Dombey, Miriam",1993,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,,172 pages,22 cm,BY High,1,,,,,,,"Shani, Raizy, and all their friends are excited about starting their own high school in Bloomfield.",High schools;Friendship;Jewish themes in children's literature,Image;StillImage,image/jpeg,eng,item
hk1649,placeholder.jpg,When Miracles happened-- : wondrous stories of Tzaddikim,"Davis, Esther;Lumer, Marc",2008,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,color illustrations,22 pages,25 cm,,,,,,,,,,"Rabbis;Legends;Hasidim;Jewish legends;Abi-Hasira, Jacob ben Masoud, 1808-1880",Image;StillImage,image/jpeg,eng,item
hk1650,placeholder.jpg,The queen of Bais Yaakov : the story of Dr. Judith Grunfeld,"Zakon, Miriam Stark",2001,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,illustrations,124 pages,22 cm,"Great women, great stories: biographies of notable Jewish women",,,,,,,,,"Jewish educators;Biography;Grunfeld-Rosenbaum, Judith",Image;StillImage,image/jpeg,eng,item
hk1651,placeholder.jpg,The burglar and other stories,"Lazewnik, Libby",2004,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,244 pages,24 cm,,,,,,,,,,Fiction,Image;StillImage,image/jpeg,eng,item
hk1652,placeholder.jpg,Simcha's Torah stories,"Groffman, Simcha",2000,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,illustrations,207 pages,23 cm,,,,,,,,,"A lesson about life is humorously revealed from each of the year's 54 Torah portions, with the addition of a brain-teaser.",Jewish ethics;Mathematical recreations;Jewish religious education,Image;StillImage,image/jpeg,eng,item
hk1653,placeholder.jpg,Saving Soraya,"Guttentag, Deborah",2003,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,illustrations,236 pages,24 cm,,,,,,,,,"Nomi, with her English family, explores the mysterious behavior of their French country cottage landlords, and discovers Soraya, a Jewish-Iranian girl hiding in a barn.",Jewish girls;Persecutions;Iran;Refugees;France;Jewish religious fiction;Fiction;Detective and mystery,Image;StillImage,image/jpeg,eng,item
hk1654,placeholder.jpg,In the dark,"Guttentag, Deborah",2008,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,222 pages,24 cm,,,,,,,,,"In the midst of World War II, Rochel Sharfer, a young Jewish girl, is sent to live in the English countryside to escape the bombings of Liverpool. Rochel and her little brother Daniel are placed in the village of Burroclough at Hethwaite Hall with the mysterious Miss Darwen. As strange happenings occur and strange people are seen in the village, Rochel is drawn into a web of intrigue.","World War II, 1939-1945;Children;England;Refugees;Great Britain;History;20th century;Jewish religious fiction;Fiction",Image;StillImage,image/jpeg,eng,item
hk1655,placeholder.jpg,In the beginning : how to survive your engagement and build a great marriage,"Einhorn, Rosie;Zimmerman, Sherry S",2001,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,233 pages,24 cm,,,,,,,,,,Marriage;Judaism;Man-woman relationships,Image;StillImage,image/jpeg,eng,item
hk1656,placeholder.jpg,Forever and a day,"Lazewnik, Libby",2002,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,300 pages,24 cm,,,,,,,,,,Earthquakes;California;Domestic fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk1657,placeholder.jpg,The harp,"Gottesman, Meir Uri",2005,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,293 pages,23 cm,,,,,"""A novel""--Cover.",,,,,Jerusalem (Israel);Siege 70 AD;Middle East;Fiction;History,Image;StillImage,image/jpeg,eng,item
hk1658,placeholder.jpg,Deep blue,"Gottesman, Meir Uri",2007,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,314 pages,24 cm,,,,,,,,,,Grandfathers;Death;Inheritance and succession;Talmud Torah;Toronto (Ontario);Ontario (Canada);Domestic fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk1659,placeholder.jpg,Moonlight : stories that illuminate the landscape of our lives,"Mermelstein, Yael",2009,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, NY",,,278 pages,24 cm,,,,,,,,,"""In this collection of emotionally stirring and thought-provoking stories, popular author Yael Mermelstein portrays an eclectic array of characters as they face their personal moonlight -- the periods of night highlighted by the breaking dawn. Using powerful characters, compelling story lines, and breathtaking language, she offers a spectacular blend of experiences, from the sunny to the sublime, from the heartwarming to the heartbreaking [...] Penetrating and illuminating, Moonlight draws us deep into the landscapes of the soul, with evocative stories that reflect our innermost lives""-- Amazon.",Spiritual life;Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk1660,placeholder.jpg,Invisible me,"Caton, Tzipi",2009,Targum Press,"Southfield, MI",,,,,,,271 pages,24 cm,,,,,,,,,"A teenage girl is a selective mute. Her teachers think she's rude, her classmates think she's weird, and her siblings call her ""socially suicidal."" She must navigate her way through a new school, and a rocky relationship with her mother, and classmates who act as if she doesn't exist.",Selective mutism;Jewish teenagers;Jewish girls;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk1661,placeholder.jpg,Straightalk: the next step : the last book you need to read before deciding to be an adult,Yossi,2009,Targum Press,"Southfield, MI",,,,,1st edition,,144 pages,17 cm,,,,,,,,Where am I going -- Getting there -- Being there.,,Jewish teenagers;Conduct of life;Teenagers;Success;Interpersonal relations;Social adjustment;Achievement;Adjustment (Psychology),Image;StillImage,image/jpeg,eng,item
hk1662,placeholder.jpg,The birdsong and other stories,"Gottesman, Meir Uri",2000,Targum Press,"Southfield, MI",,,,,,,177 pages,24 cm,,,,,,,,,,Jewish way of life,Image;StillImage,image/jpeg,eng,item
hk1663,placeholder.jpg,Save our school,"Wiederblank, Sara",2006,Targum Press,"Southfield, MI",,,,,,,144 pages,22 cm,,,,,,,,,,Jewish girls;United States;Fiction,Image;StillImage,image/jpeg,eng,item
hk1664,placeholder.jpg,The mystery of the rich uncle,"Stein, Aidel",2007,Targum Press,"Southfield, MI",,,,,,,233 pages,,Bar Mitzvah mysteries,,,,"""TargumKids""--Cover",,,,"A twelve-year-old is too busy to clean his room and go suit shopping, but would unravel the mystery of why his uncle is dressed so fancy and seems to be always on the phone.",Jewish boys;Bar/Bat mitzvah;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk1665,placeholder.jpg,The Chaverim Boys Choir live!,"Rosen, Chaya",2009,Targum Press,"Southfield, MI",,,,,,,214 pages,24 cm,Backstage with CBC,,,,,,,,,Orthodox Jews;Children's choirs;Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk1666,placeholder.jpg,Impact! for kids,"Subar, Leah;Weinreb, Miri;Kaplan, Dovid",2009,Targum Press,"Southfield, MI",,,,,,color illustrations,62 pages,30 cm,,,,,"""From Rabbi Kaplan's Impact! series""--Cover",,,,An illustrated collection of twenty-six stories for children offering life lessons adapted from Rabbi Dovid Kaplan's Impact! series.,Jewish ethics;Short stories;Fiction;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk1667,placeholder.jpg,Seven up,"Wiederblank, Sara",2009,Targum Press,"Southfield, MI",,,,,,,142 pages,22 cm,,,,,,,,,"""Class 6A in Bais Leah Fruma Ettel lost every competition they've ever had against class 6B. They almost expect it. But when Color War is announced, a new spirit sweeps the class. As Team Seven, they brainstorm and scheme, plan and practive, determined to make this Color War different.""-- Back cover",Jewish girls;United States;Ultra-Orthodox Jews;Orthodox Jews;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk1668,placeholder.jpg,The kids kosher cookbook : do-it-yourself recipes that kids will love to cook,"Zakon, Miriam Stark;Abrin, Rikki",2005,Targum Press,"Southfield, MI",,,Feldheim Publishers,,,chiefly color illustrations,111 pages,23 x 25 cm,,,,,,,,Boker Tov breakfast ideas -- Sandwiches & salads -- Great drinks -- Mom's-away dinners -- Kids' choice desserts -- 24/7 snacks -- Do-it-yourself Shabbat -- Yom Tov delights.,Contains recipes for kosher cooking which children can make.,Jewish cooking;Cooking,Image;StillImage,image/jpeg,eng,item
hk1669,placeholder.jpg,Wings and other stories,"Gottesman, Meir Uri",2001,Targum Press,"Southfield, MI",,,Feldheim Publishers,,,,294 pages,24 cm,,,,,,,,,,Airplanes;Fiction,Image;StillImage,image/jpeg,eng,item
hk1670,placeholder.jpg,The Jewish teen's survival guide : honest answers for today's teens,"Hochberg, Dovid",2009,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, New York",,,121 pages,,,,,,Includes index.,,,,"""From peer pressure to attraction, from habits to guilt, noted psychotherapist Rabbi Dovid Hochberg tackles it all as he addresses the real-life questions and burning issues that are important to every Jewish teenager--without preaching or lecturing. A survival guide that is true to its name with clear, direct answers that you've always been looking for, this is an absolute essential for every Jewish teen""-- Amazon.",Jewish teenagers;Conduct of life;Jewish way of life;Adolescence,Image;StillImage,image/jpeg,eng,item
hk1671,placeholder.jpg,Give me the moon : a novel,"Lazewnik, Libby",1996,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, New York",,,423 pages,24 cm,,,,,,,,,,Jewish families;Rabbis;Mate selection;Jewish way of life;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk1672,placeholder.jpg,Baker's dozen three-in-one 7 8 9,"Stein, Aidel;Zitter, Emmy;Garfunkel, Debby;Zakon, Miriam Stark",1993,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,,"147, 135, 143 pages",22 cm,Baker's dozen,9-Jul,,,,,,Ima come home / Aidel Stein -- Hey waiter! / Emmy Zitter -- Through thick and thin / Debby Garfunkel.,,Jewish way of life;Siblings;Fiction,Image;StillImage,image/jpeg,eng,item
hk1673,placeholder.jpg,Baker's dozen three-in-one 11,"Stein, Aidel;Rose, Miriam;Zakon, Miriam Stark",1993-1994,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,,"154, 162, 173 pages",22 cm,Baker's dozen,12-Oct,,,,,,Do not disturb! / Aidel Stein -- Do-gooders / Aidel Stein -- Baker family circus / Miriam Rose.,,Jewish way of life;Siblings;Fiction,Image;StillImage,image/jpeg,eng,item
hk1674,placeholder.jpg,Baker's dozen three-in-one 15,"Stein, Aidel;Steinberg, Ruth;Zakon, Miriam Stark",1994-1995,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,,"144, 155, 142 pages",22 cm,Baker's dozen,13-15,,,,,,Something's fishy / Aidel Stein -- Summer jobs / Aidel Stein -- Sorry about that / Ruth Steinberg.,,Jewish way of life;Siblings;Fiction,Image;StillImage,image/jpeg,eng,item
hk1675,placeholder.jpg,Absolutely Shira!,"Lazewnik, Libby",1993,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Vally, New York",,,190 pages,23 cm,,,,,,,,,Shira learns that life isn't perfect.,Life change events;Friendship;Fiction,Image;StillImage,image/jpeg,eng,item
hk1676,placeholder.jpg,Everything under the sun : an anthology for young teens,"Prenzlau, Sheryl",1993,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,illustrations,422 pages,,,,,,,,,,"Stories, poems, and essays for preteens and teens by more than sixty authors, including a special section by young writers.",Jewish literature;Young adult fiction;Young adult poetry;Young adult literature;Children's writings;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk1677,placeholder.jpg,Secrets!,"Klein, Leah",1993,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Spring Valley, New York",,,142 pages,,BY Times,15,,,,,,,,Friendship;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk1678,placeholder.jpg,Who's who?,"Klein, Leah",1994,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, New York",,,"135, 5 pages",22 cm,BY Times,18,,,,,,,,Jewish way of life;Friendship;Fiction,Image;StillImage,image/jpeg,eng,item
hk1679,placeholder.jpg,The wrong way,"Prenzlau, Sheryl;Klein, Leah",1995,Targum Press,"Southfield, MI",,,Feldheim Publishers,"Nanuet, New York",,illustrations,113 pages,21 cm,BY Times kid sisters,11,,,,,,,,Friendship;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
