keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0039,placeholder.jpg,Dovy and his cheer-up visitors : a bikur cholim story,"Weinstock, Malky;Pileggi, Steve",2021,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,1 volume,28 cm + 1 audio disc,LITE Boy,,,,"Includes a CD with ""Song and audio produced by Rochel Leah Reifer-Lamm.""",,,,,Orthodox Judaism;United States;Visiting the sick (Judaism);Fiction,Image;StillImage,image/jpeg,eng,item
hk0040,placeholder.jpg,Yael gets a guest,"Weinstock, Malky;Pileggi, Steve;Stone, Reuven A;Szpilzinger, Menachem",2015,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Girl,,,,"Includes a CD with ""lyrics and audio production Reuven A. Stone;vocalist, Menachem Szpilzinger.""",,,,,Jewish girls;Orthodox Judaism;Hospitality;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0041,placeholder.jpg,Yael's Pesach dance,"Weinstock, Malky;Pileggi, Steve;Stone, Reuven A;Szpilzinger, Menachem",2015,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,1 volume,25 cm + 1 audio disc,LITE Girl,1,Yael Yom Tov series,,"Includes a CD with ""lyrics and audio production Reuven A. Stone;vocalist, Menachem Szpilzinger.""",,,,,Passover;Jewish girls;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0042,placeholder.jpg,Yael and the shining menorah lights,"Weinstock, Malky;Pileggi, Steve;Stone, Reuven A;Szpilzinger, Menachem",2015,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Girl,2,Yael Yom Tov series,,"Includes a CD with ""lyrics and audio production Reuven A. Stone;vocalist, Menachem Szpilzinger.""",,,,,Hanukkah;Jewish girls;Orthodox Judaism;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0043,placeholder.jpg,Yael and her new white dress : a Rosh Hashanah and Yom Kippur story,"Weinstock, Malky;Pileggi, Steve;Brown, M",2016,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,23 pages,25 cm + 1 audio disc,LITE Girl,,,,"Includes a CD with ""music snd by M. Brown.""",,,,,Jewish girls;Rosh Hashanah;Yom Kippur;Orthodox Judaism;Clothing and dress;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0044,placeholder.jpg,Yael's great big family,"Weinstock, Malky;Pileggi, Steve;Brown, M",2017,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Girl,,,,"Includes a CD with ""music and lyrics by M. Brown.""",,,,,Jewish girls;Orthodox Judaism;Jewish ethics;Commandments (Judaism);Helping behavior;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0045,placeholder.jpg,New shoes for Yael,"Weinstock, Malky;Pileggi, Steve;Brown, Mattisyahu",2012,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Girl,,,,"""Library of Congress Catalog# VA 1-776-193""--Title page verso;CD contents: story narration (Malky Weinstock) (8:23) -- song Hello world (""music, vocals [sic] and lyrics, Mattisyahu Brown."") (2:28) --credits from title page verso",,,,"As Yael gets measured for brand new shoes [with high heels that would make her taller], she learns that everyone is created the perfect size.-- Back cover.; Yael, Lite Gir's original lovable character, learns that everyone is perfect in her own way-- Title-page verso.",Jewish girls;Self-acceptance;Stature (tall and short);Jewish ethics;Orthodox Judaism;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk0046,placeholder.jpg,Yael plants seeds,"Weinstock, Malky;Pileggi, Steve",2019,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,28 cm + 1 audio disc,LITE Girl,,,,,,,,Yael learns about seeds in Savta's vegetable garden.,Seeds;Gardening;Jewish families;God (Judaism);Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0047,elias_choices.jpg,Choices : a novel,"Elias, Miriam L",1996,Tamar Books,"Brooklyn, NY",,,Artscroll Mesorah Publications,"Brooklyn, New York",1st edition,,126 pages,24 cm,,,,,,,,,,Jewish girls;United States;Friendship;Ultra-Orthodox Jews;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0048,placeholder.jpg,Yael and the secret language : a story about talking to Hashem,"Weinstock, Malky;Pileggi, Steve",2021,Judaica Press,"Brooklyn, NY",,,,,,illustrations (some color),1 volume,28 cm + 1 audio disc,LITE Girl,,,,"""Audio/musical CD included!""--Cover.",,,,"""Yael and her brother are curious about their mother's whispering. Is it a secret language? Join Yael as she learns about talking to Hashem whenever she needs help.""--Amazon.com.",God (Judaism);Prayers and devotions;Faith (Judaism);Haredi and religious literature;Prayer;Judaism;Fiction;Songs and music,Image;StillImage,image/jpeg,eng,item
