objectid,objecttype,title,lc,nli,viaf,wiki,filename,creator,date,publisher,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,display_template
hk0572,item,I kiss my Mezuzah,,,,,placeholder.jpg,"Benenfeld, Rikki",2020,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,"""A warm and cozy book all about the mitzvah of mezuzah. Join a young brother and sister as they bring all the mezuzos from their home to be checked by a sofer""-- Provided by publisher.",Mezuzah;Customs and practices;United States;Picture books;Haredi and religious literature;Fiction,Image;StillImage,image/jpeg,item
hk0573,item,My first Baal Shem Tov book,,,,,placeholder.jpg,"Kaufmann, Yosef;Simon, Mira",2020,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,20 pages,26 cm,,,,,Laminated pages.,,,,,"Trust in God;Judaism;Conduct of life;Fiction;Biography;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,item
hk0574,item,The surprise in the desk,,,,,placeholder.jpg,"Ungar, Carol;Simon, Mira",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,26 cm,,,,,,,,,,Rabbis;Lost and found possessions;Desks;Fiction,Image;StillImage,image/jpeg,item
hk0575,item,"I love you, my dear",,,,,placeholder.jpg,"Baron, Chaya;Munger, Nancy",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,,Love;Judaism;Parent and child;Infants;United States;Fiction;Stories in rhyme;Picture books,Image;StillImage,image/jpeg,item
hk0576,item,"Mitzvah, guess who?",,,,,placeholder.jpg,"Stern, Ariella;Argoff, Patti",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,19 cm,,,,,,,,,,Commandments (Judaism),Image;StillImage,image/jpeg,item
hk0577,item,The traveling smile,,,,,placeholder.jpg,"Benenfeld, Rikki;Eisenreich, Toby",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,,Smiling;Judaism;Interpersonal relations;Jewish ethics;Picture books;Fiction,Image;StillImage,image/jpeg,item
hk0578,item,Sukkos guess who?,,,,,placeholder.jpg,"Stern, Ariella;Argoff, Patti",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,20 cm,Guesso who,,,,,,,,"""Lift the flaps to discover the answers to the Sukkos Riddles""-- Provided by publisher.",Sukkot;Jewish families;Picture books;Lift-the-flap books;Puzzles and games,Image;StillImage,image/jpeg,item
hk0579,item,I can help,,,,,placeholder.jpg,"Benenfeld, Rikki",2022,Hachai Publishing,"Brooklyn, NY",,,,,"1st edition, January 2022",color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,,Siblings;Conduct of life;Fiction,Image;StillImage,image/jpeg,item
hk0580,item,"Oh, how I wish",,,,,placeholder.jpg,"Blau, Sara;Binder, Yehudit",2023,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,Laminated pages.,,,,,Commandments (Judaism);Jewish way of life;Fiction,Image;StillImage,image/jpeg,item
hk0581,item,Shabbos guess who?,,,,,stern_shabbosguesswho.jpg,"Stern, Ariella;Argoff, Patti",2023,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,20 cm,Guesso who,,,,,,,,,Sabbath;Jewish families;Lift-the-flap books;Picture books,Image;StillImage,image/jpeg,item
hk0582,item,I can wait,,,,,placeholder.jpg,"Benenfeld, Rikki",2023,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,27 cm,,,,,,,,,"""Join a young brother and sister who practice waiting throughout the week!""-- Page 4 of cover.",Siblings;Patience;Conduct of life,Image;StillImage,image/jpeg,item
hk0583,item,Eight bright nights,,,,,placeholder.jpg,"Spitz, Hindy;Liu, Jessica",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,29 cm,,,,,Laminated pages.,,,,"""A loving family lights the menorah on all eight nights of Chanukah. Join in as they count from 1 to 8, while enjoying all the festive holiday traditions!""-- Provided by publisher.",Hanukkah,Image;StillImage,image/jpeg,item
hk0584,item,Feeling better A to Z : a book about bikur cholim,,,,,placeholder.jpg,"Chomer, Malaka Nussbaum;Bolton, Bill 1968-",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,29 cm,,,,,Printed on laminated pages.,,,,"In this alphabet book, a young brother and sister discover many ways in which they can perform the mitzvah of Bikur Cholim, visiting and helping those who are sick or injured.",Visiting the sick (Judaism);Jewish ethics;Conduct of life;Kindness;Alphabet books;Customs and practices;Sick;Fiction,Image;StillImage,image/jpeg,item
hk0585,item,Hello morning!,,,,,placeholder.jpg,"Freedman, Chaya;Ackerman, Dena",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,20 pages,26 cm,,,,,Laminated pages.,,,,,Judaism;Prayers and devotions;Jewish morning customs;Picture books;Fiction,Image;StillImage,image/jpeg,item
hk0586,item,Hear the megillah : a playful action rhyme,,,,,placeholder.jpg,"Broide, Tova Gitty;Argoff, Patti",2018,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,12 pages,,,,,,,,,,,Purim,Image;StillImage,image/jpeg,item
hk0587,item,Light the menorah : a playful action rhyme,,,,,placeholder.jpg,"Broide, Tova Gitty;Argoff, Patti",2019,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,10 pages,20 x 20 cm,,,,,,,,,,Hanukkah,Image;StillImage,image/jpeg,item
hk0588,item,Sorry about that,,,,,placeholder.jpg,"Steinberg, Ruth;Zakon, Miriam Stark",2021,Menucha Publishers,"Brooklyn, NY",,,,,,,140 pages,21 cm,Baker's dozen,15,,,,,,,,Siblings;Jewish way of life;Fiction,Image;StillImage,image/jpeg,item
hk0589,item,Holding on : a teen novel,,,,,placeholder.jpg,"Riger, Shoshana",2021,Menucha Publishers,"Brooklyn, NY",,,,,,,172 pages,24 cm,,,,,,,,,"It's hard to let go...Aviva Meyers is an outgoing, ultra-popular teen. Michali, her artistic and introverted twin sister, was her best friend. Tragedy leaves Aviva bereaved and confused, unable to move on. Her friends desperately try to help her, but Aviva resists their overtures. Will she ever learn to live and laugh again?Then Shari enters her life. Can Shari, facing her own challenges, pierce the barriers around Aviva's heart? Readers will root for Aviva as she struggles to let go of her loss and hold on to the promise of a new future.--Back cover.",Teenage girls;Jewish teenagers;Female friendship;Jewish girls;United States;Twin sisters;Grief;Friendship;Fiction;Novels;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk0590,item,The secret code and other stories,,,,,placeholder.jpg,"Kranzler, Gershon;Kotler, Arkady;Kotler, Elina;Waldman, Bryna",1991,Merkos L'Inyonei Chinuch,"Brooklyn, NY",,,,,,illustrations,107 pages,22 cm,,,,,,,,,"A collection of stories, including ""A Bar Mitzvah Boy's Revenge,"" ""Chanukah in Stalag 32,"" and ""Rescue from the Ocean.""",Jewish literature,Image;StillImage,image/jpeg,item
hk0591,item,The Maharal to the rescue : and other stories of Rabbi Yehudah Loew of Prague,,,,,placeholder.jpg,"Mindel, Nissan;Ayache, Avraham",2007,Merkos L'Inyonei Chinuch,"Brooklyn, NY",,,,,,illustrations,67 pages,22 cm,,,,,,,,"The Maharal's bride -- The Maharal to the rescue -- The strange dream -- The bayonet in the Golem's tomb -- Rabbi Yehudah Loew, biographical sketch.",,"Rabbis;Czech Republic;Prague (Czech Republic);Legends;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,item
hk0592,item,The Golem of Prague,,,,,placeholder.jpg,"Kuperman, T;Pollack, Gadi",2007,Artscroll Mesorah Publications,"Brooklyn, NY",,,,,1st edition,color illustrations,96 pages,29 cm,Artscroll Youth series,,,,,,,,"In the 16th century, Rabbi Yehudah Loewe, the Maharal of Prague, brings a golem to life to help protect the Jewish Ghetto of Prague from anti-Semitic attacks.","Golem;Jewish legends;Czech Republic;Folklore;Fiction;Legends;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,item
hk0593,item,Children's stories about friendship,,,,,placeholder.jpg,"Fuchs, Menuchah;Miri",2000,Judaica Press,"Brooklyn, NY",,,,,,illustrations,42 pages,21 cm,Children's Learning Series,,,,,,,Telling jokes -- The pajama problem -- Backpacks -- The shortcut -- Marbles for everyone.,,Friendship;Conduct of life;Fiction,Image;StillImage,image/jpeg,item
hk0594,item,Me and my feelings : giving kids calming tools to work through strong emotions,,,,,placeholder.jpg,"Kamman, Chanie",2021,Judaica Press,"Brooklyn, NY",,,,,,illustrations (some color),1 volume,29 cm,,,,,,,,,"""Giving kids calming tools to work through strong emotions This is the perfect book to help children process their emotions in a healthy way.""--Amazon.com.",Emotions;Emotional intelligence;Calmness;Judaism;Self-help techniques;Fiction,Image;StillImage,image/jpeg,item
